2026-06-08 22:38:30 | INFO | cliente=servidor | Servidor iniciado na porta: 5000
2026-06-08 22:38:30 | INFO | cliente=servidor | Servidor UDP à escuta na porta 6000
2026-06-08 22:38:41 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:38:41 | INFO | cliente=1 | nova ligacao de 127.0.0.1:57777
2026-06-08 22:39:00 | INFO | cliente=servidor | ana entrou
2026-06-08 22:39:00 | INFO | cliente=1 | ana ligado a partir de 127.0.0.1:57777
2026-06-08 22:39:07 | RECV | cliente=1 | LIST
2026-06-08 22:39:16 | RECV | cliente=1 | NICK ANACPS
2026-06-08 22:39:16 | INFO | cliente=1 | ana mudou o nome para ANACPS
2026-06-08 22:39:25 | RECV | cliente=1 | MSG ola mundo
2026-06-08 22:39:25 | INFO | cliente=1 | mensagem publica enviada: ola mundo
2026-06-08 22:39:52 | RECV | cliente=1 | PM joao ola
2026-06-08 22:40:03 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:40:03 | INFO | cliente=2 | nova ligacao de 127.0.0.1:63511
2026-06-08 22:40:13 | INFO | cliente=servidor | joao entrou
2026-06-08 22:40:13 | INFO | cliente=2 | joao ligado a partir de 127.0.0.1:63511
2026-06-08 22:40:23 | RECV | cliente=2 | MSG ola mundo 2
2026-06-08 22:40:23 | INFO | cliente=2 | mensagem publica enviada: ola mundo 2
2026-06-08 22:40:27 | RECV | cliente=2 | WHO
2026-06-08 22:40:50 | RECV | cliente=2 | PM ANACPS ola ola
2026-06-08 22:40:50 | INFO | cliente=2 | mensagem privada para ANACPS: ola ola
2026-06-08 22:41:02 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:41:02 | INFO | cliente=3 | nova ligacao de 127.0.0.1:51785
2026-06-08 22:41:14 | INFO | cliente=servidor | mathias entrou
2026-06-08 22:41:14 | INFO | cliente=3 | mathias ligado a partir de 127.0.0.1:51785
2026-06-08 22:41:17 | RECV | cliente=3 | WHO
2026-06-08 22:41:22 | RECV | cliente=3 | HELP
2026-06-08 22:41:25 | RECV | cliente=3 | PING
2026-06-08 22:41:25 | INFO | cliente=3 | mathias fez PING
2026-06-08 22:41:27 | RECV | cliente=3 | TIME
2026-06-08 22:41:27 | INFO | cliente=3 | mathias pediu TIME
2026-06-08 22:41:52 | RECV | cliente=3 | QUIT
2026-06-08 22:41:52 | INFO | cliente=3 | mathias saiu com QUIT
2026-06-08 22:42:14 | RECV | cliente=1 | MSG ola mundo 3
2026-06-08 22:42:14 | INFO | cliente=1 | mensagem publica enviada: ola mundo 3
2026-06-08 22:42:26 | RECV | cliente=1 | PM mathias ola ola ola
2026-06-08 22:42:35 | RECV | cliente=1 | PM joao ola ola ola ola
2026-06-08 22:42:35 | INFO | cliente=1 | mensagem privada para joao: ola ola ola ola
2026-06-08 22:42:41 | RECV | cliente=1 | PING
2026-06-08 22:42:41 | INFO | cliente=1 | ANACPS fez PING
2026-06-08 22:42:43 | RECV | cliente=1 | WHO
2026-06-08 22:43:50 | ERR  | cliente=2 | timeout - cliente desligado
2026-06-08 22:43:50 | INFO | cliente=2 | sessao terminada
2026-06-08 22:44:14 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:44:14 | INFO | cliente=4 | nova ligacao de 127.0.0.1:57410
2026-06-08 22:45:43 | ERR  | cliente=1 | timeout - cliente desligado
2026-06-08 22:45:43 | INFO | cliente=1 | sessao terminada
2026-06-08 22:47:14 | ERR  | cliente=4 | timeout - cliente desligado
2026-06-08 22:47:14 | INFO | cliente=servidor | cliente anonimo desligado
2026-06-08 22:56:13 | INFO | cliente=servidor | Servidor iniciado na porta: 5000
2026-06-08 22:56:13 | INFO | cliente=servidor | Servidor UDP à escuta na porta 6000
2026-06-08 22:56:29 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:56:29 | INFO | cliente=1 | nova ligacao de 127.0.0.1:63465
2026-06-08 22:56:43 | INFO | cliente=servidor | ana entrou
2026-06-08 22:56:43 | INFO | cliente=1 | ana ligado a partir de 127.0.0.1:63465
2026-06-08 22:56:49 | RECV | cliente=1 | WHO
2026-06-08 22:56:54 | RECV | cliente=1 | LIST
2026-06-08 22:57:01 | RECV | cliente=1 | PING
2026-06-08 22:57:01 | INFO | cliente=1 | ana fez PING
2026-06-08 22:57:15 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:57:15 | INFO | cliente=2 | nova ligacao de 127.0.0.1:65455
2026-06-08 22:57:37 | RECV | cliente=1 | TIME
2026-06-08 22:57:37 | INFO | cliente=1 | ana pediu TIME
2026-06-08 22:57:51 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:57:51 | INFO | cliente=3 | nova ligacao de 127.0.0.1:65459
2026-06-08 22:57:56 | INFO | cliente=servidor | joao entrou
2026-06-08 22:57:56 | INFO | cliente=3 | joao ligado a partir de 127.0.0.1:65459
2026-06-08 22:58:14 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:58:14 | INFO | cliente=4 | nova ligacao de 127.0.0.1:53857
2026-06-08 22:58:20 | INFO | cliente=servidor | antonio entrou
2026-06-08 22:58:20 | INFO | cliente=4 | antonio ligado a partir de 127.0.0.1:53857
2026-06-08 22:58:28 | INFO | cliente=servidor | Novo cliente ligado de/127.0.0.1
2026-06-08 22:58:28 | INFO | cliente=5 | nova ligacao de 127.0.0.1:53864
2026-06-08 22:58:33 | INFO | cliente=servidor | diogo entrou
2026-06-08 22:58:33 | INFO | cliente=5 | diogo ligado a partir de 127.0.0.1:53864
2026-06-08 22:58:35 | RECV | cliente=5 | WHO
2026-06-08 22:58:52 | RECV | cliente=5 | msg OLA MUNDO 1x
2026-06-08 22:58:52 | INFO | cliente=5 | mensagem publica enviada: OLA MUNDO 1x
2026-06-08 23:00:15 | ERR  | cliente=2 | timeout - cliente desligado
2026-06-08 23:00:15 | INFO | cliente=servidor | cliente anonimo desligado
2026-06-08 23:00:32 | RECV | cliente=1 | PM joao ola joao
2026-06-08 23:00:32 | INFO | cliente=1 | mensagem privada para joao: ola joao
2026-06-08 23:00:53 | RECV | cliente=3 | PM mathias ola ola
2026-06-08 23:00:58 | RECV | cliente=3 | PM ola
2026-06-08 23:01:03 | RECV | cliente=3 | MSG
2026-06-08 23:01:12 | RECV | cliente=3 | NICK joaopinto
2026-06-08 23:01:12 | INFO | cliente=3 | joao mudou o nome para joaopinto
2026-06-08 23:01:20 | ERR  | cliente=4 | timeout - cliente desligado
2026-06-08 23:01:20 | INFO | cliente=4 | sessao terminada
2026-06-08 23:01:43 | RECV | cliente=5 | MSG ola mundo 2x
2026-06-08 23:01:43 | INFO | cliente=5 | mensagem publica enviada: ola mundo 2x
2026-06-08 23:01:46 | RECV | cliente=5 | WHO
2026-06-08 23:02:05 | RECV | cliente=3 | WH
2026-06-08 23:02:44 | RECV | cliente=5 | HELP
2026-06-08 23:02:48 | RECV | cliente=5 | PING
2026-06-08 23:02:48 | INFO | cliente=5 | diogo fez PING
2026-06-08 23:02:54 | RECV | cliente=5 | TIME
2026-06-08 23:02:54 | INFO | cliente=5 | diogo pediu TIME
2026-06-08 23:02:59 | RECV | cliente=5 | SEND README.md
2026-06-08 23:02:59 | INFO | cliente=5 | ficheiro recebido README.md 8391 bytes
2026-06-08 23:02:59 | INFO | cliente=servidor | Ficheiro recebido de diogo: README.md (8391 bytes)
2026-06-08 23:03:05 | RECV | cliente=5 | SEND run.bat
2026-06-08 23:03:05 | RECV | cliente=5 | run.bato off
2026-06-08 23:03:05 | RECV | cliente=5 | ::ñ mostra os comando no ecrã, só o output
2026-06-08 23:03:05 | RECV | cliente=5 | cd bin
2026-06-08 23:03:05 | RECV | cliente=5 | ::entra na pasta bin onde estão os .class compilados
2026-06-08 23:03:05 | RECV | cliente=5 | java server.Servidor
2026-06-08 23:03:05 | RECV | cliente=5 | ::corre o servidor
2026-06-08 23:03:05 | RECV | cliente=5 | pause
2026-06-08 23:03:32 | ERR  | cliente=1 | timeout - cliente desligado
2026-06-08 23:03:32 | INFO | cliente=1 | sessao terminada
2026-06-08 23:05:05 | ERR  | cliente=3 | timeout - cliente desligado
2026-06-08 23:05:05 | INFO | cliente=3 | sessao terminada
2026-06-08 23:06:05 | ERR  | cliente=5 | timeout - cliente desligado
2026-06-08 23:06:05 | INFO | cliente=5 | sessao terminada
2026-06-08 23:11:04 | INFO | cliente=servidor | Servidor iniciado na porta: 7000
2026-06-08 23:11:04 | INFO | cliente=servidor | Servidor UDP à escuta na porta 6000
2026-06-08 23:11:23 | INFO | cliente=servidor | UDP recebeu: DISCOVER de /192.168.68.51
2026-06-08 23:11:23 | INFO | cliente=servidor | UDP respondeu: SERVER 192.168.68.51 7000
2026-06-08 23:12:13 | INFO | cliente=servidor | Servidor iniciado na porta: 7000
2026-06-08 23:12:13 | INFO | cliente=servidor | Servidor UDP à escuta na porta 6000
2026-06-08 23:12:21 | INFO | cliente=servidor | UDP recebeu: DISCOVER de /192.168.68.51
2026-06-08 23:12:21 | INFO | cliente=servidor | UDP respondeu: SERVER 192.168.68.51 7000
